Name,Gender,DOB,POB,DOD,POD,Description,Image,ID,CBDB_ID,Is_Figure_Painter,Evidence,Works,CTEXT_Works
朱銳,男,0,河北路,0,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45434436,39828,Yes,,南宋  朱锐  溪山行旅图散页 (Depicts: Human),
趙士雷,男,,,,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45478434,50268,Yes,,Lady Behind a House Screen (Title implies figure),
马远,男,http://www.wikidata.org/.well-known/genid/43bdbf9dd592b6eee11ff289f3b8247a,杭州市,1225-01-01,http://www.wikidata.org/.well-known/genid/7cf7f42e3b082934f3244910acdbbe60,南宋画家,N/A,http://www.wikidata.org/entity/Q433603,44099,Yes,Known for 人物畫,马远孔子像图页 (Title implies figure),
巨然,男,1000-01-01,南昌市,1000-01-01,N/A,N/A,N/A,http://www.wikidata.org/entity/Q2671678,53139,Yes,,释 巨然  万壑松风图轴 (Depicts: Human),
郭熙,男,1020-01-01,温县,1090-01-01,開封市,N/A,N/A,http://www.wikidata.org/entity/Q536645,19509,Yes,,宋  郭熙 古木遥山图轴 (Depicts: Human),
李公麟,男,1049-01-01,桐城市,1106-01-01,N/A,北宋画家（1049—1106）,http://commons.wikimedia.org/wiki/Special:FilePath/%E6%9D%8E%E5%85%AC%E9%BA%9F.jpg,http://www.wikidata.org/entity/Q716389,19865,Yes,,"Portrait of Lady (Genre: Figure/Portrait/Religious); Immortal Riding on Dragon, in Qing style (Title implies figure)",
釋仲仁,男,1050-01-01,紹興市,1123-01-01,N/A,N/A,N/A,http://www.wikidata.org/entity/Q3575428,53205,Yes,Wikidata Desc: Chinese painter and Chan Buddhist monk (d. 1123),,
赵伯驹,男,1120-01-01,吳縣,1182-01-01,N/A,N/A,N/A,http://www.wikidata.org/entity/Q3372429,25534,Yes,,Mountains of the Immortals (Title implies figure),
馬和之,男,1150-01-01,錢塘,,N/A,N/A,N/A,http://www.wikidata.org/entity/Q5158780,44736,Yes,Known for 人物畫,南宋  马和之 召南八篇图卷 (Depicts: Human),
劉松年,男,1174-01-01,杭州市,1224-01-01,杭州市,南宋画家,N/A,http://www.wikidata.org/entity/Q3083484,52001,Yes,,Gathering of Daoist Immortals (Title implies figure),
马麟,男,1180-01-01,河中府,1256-01-01,N/A,南宋画家,N/A,http://www.wikidata.org/entity/Q637407,44218,Yes,,伏羲坐像 (Title implies figure); 帝堯立像 (Title implies figure); 夏禹王立像 (Title implies figure); 商湯王立像 (Title implies figure); 周武王立像 (Title implies figure),
趙葵,男,1186-01-01,衡山,1266-01-01,N/A,N/A,N/A,http://www.wikidata.org/entity/Q15929761,15219,Yes,,南宋  赵葵  杜甫诗意图卷 (Depicts: Human),
梁楷,男,1200-01-01,山東省,1300-01-01,N/A,N/A,N/A,http://www.wikidata.org/entity/Q740332,20057,Yes,,李白行吟图 (Genre: Figure/Portrait/Religious),
牧谿,男,1210-01-01,四川省,1269-01-01,杭州市,N/A,N/A,http://www.wikidata.org/entity/Q3048317,,Yes,Known for 肖像,,
钱选,男,1235-01-01,吴兴区,http://www.wikidata.org/.well-known/genid/aea1ffa6b3bc870a41f81744cc26b135,N/A,宋末元初画家,N/A,http://www.wikidata.org/entity/Q951585,16227,Yes,,Court Lady (Title implies figure),
